effect,LCL,UCL,betaName,trait
2.181674266,0.594134399,4.183251163,Shrub cover,cavities
2.651771903,0.820510572,4.651620229,intercept,cavities
-3.273361878,-5.705023305,-0.873063553,Pasture,cavities
-1.25315409,-4.427845232,2.11180024,Homestead,cavities
-8.518943964,-12.78123079,-4.02988945,Plantation,cavities
1.619880619,0.426256646,2.972637696,Shrub cover,grass
0.03144821,-1.543609843,1.737933304,intercept,grass
-1.003156712,-3.257967064,1.021640719,Pasture,grass
1.008731741,-1.719412687,3.94444594,Homestead,grass
-1.60446104,-4.692415457,1.334718651,Plantation,grass
1.55656567,0.628337295,2.566412462,Shrub cover,shrubs
1.471384226,0.476182094,2.543435609,intercept,shrubs
-0.020903555,-1.289035921,1.340204432,Pasture,shrubs
-1.295025048,-2.848399748,0.372499927,Homestead,shrubs
-4.543627375,-6.3301218,-2.552722258,Plantation,shrubs
1.608839969,0.660353506,2.757970311,Shrub cover,trees
2.442222477,1.408830999,3.613160965,intercept,trees
-0.804307224,-2.056894311,0.534812369,Pasture,trees
-2.083849747,-3.76897121,-0.431317665,Homestead,trees
-4.945791616,-6.847724007,-3.138081855,Plantation,trees
1.217977963,-0.355381453,3.339549001,Shrub cover,fruit
3.145144903,1.135011159,5.607416136,intercept,fruit
-0.87735285,-3.865144714,2.501361687,Pasture,fruit
1.775387413,-1.851228537,5.862373148,Homestead,fruit
-4.919756143,-6.925990313,-3.009417422,Plantation,fruit
2.520469319,1.543005697,3.554861647,Shrub cover,invertebrates
2.0635173,1.038096772,3.160582314,intercept,invertebrates
-1.067118435,-2.40280235,0.321087737,Pasture,invertebrates
-3.644398338,-5.353661265,-1.975345074,Homestead,invertebrates
-4.919756143,-6.925990313,-3.009417422,Plantation,invertebrates
1.324614319,-0.887906979,8.008790375,Shrub cover,nectar
2.540906595,-0.190945363,8.83910472,intercept,nectar
0.265673881,-3.65239558,7.192392651,Pasture,nectar
4.350119117,-1.062054207,10.96900117,Homestead,nectar
-5.113268283,-10.90764008,-0.614684883,Plantation,nectar
-0.308211847,-1.683822088,1.402761489,Shrub cover,predatory
-1.242956998,-3.352253195,1.003224119,intercept,predatory
0.482363556,-2.114657397,3.093370174,Pasture,predatory
-0.750605872,-3.913494406,2.32949719,Homestead,predatory
-7.737374623,-12.77433178,-3.179343217,Plantation,predatory
-0.171655603,-1.420325118,1.521280655,Shrub cover,seeds
2.376881147,0.712345386,4.537177079,intercept,seeds
-1.271955672,-3.500982851,1.173644383,Pasture,seeds
0.356012813,-2.689897509,3.790086768,Homestead,seeds
-5.675170298,-9.362811755,-1.74237103,Plantation,seeds
-0.005802631,-0.027658632,0.022524257,Shrub cover,mass
0.023600769,-0.001505299,0.059670028,Intercept,mass
-0.006557041,-0.042273912,0.039230547,Pasture,mass
-0.02567009,-0.066213581,0.023410057,Homestead,mass
-0.002408461,-0.04699261,0.053223902,Plantation,mass
-1.118421452,-4.896935786,3.66776841,Shrub cover,loading
2.533408217,-1.926017725,8.205802651,Intercept,loading
-0.250365499,-6.103937477,7.153325956,Pasture,loading
-3.770931866,-10.69445797,4.179139173,Homestead,loading
-2.881251133,-10.80835306,6.133114632,Plantation,loading
