"","effect","95% LCL","95% UCL","90%LCL","90% UCL","betaName","measure"
"1",0.0075385115163424,-0.0207775819204686,0.0402982245001182,-0.0156474980738376,0.0343674348502736,"Shrub","mass"
"2",0.0269081414559231,0.00044141190622072,0.0626062880457443,0.00390819269190358,0.0543956650592201,"Intercept","mass"
"3",-0.00662533707821184,-0.0456891936702208,0.0407140864455872,-0.0382412728732911,0.0303460679882054,"Pasture","mass"
"4",-0.0196218635176912,-0.0683259182471077,0.0327209239753296,-0.060572762620848,0.0227504072204442,"Homestead","mass"
"5",-0.00437821527482602,-0.0430130695515078,0.0421605953454153,-0.0380284799127097,0.0337187060981764,"Pas_by_shrub","mass"
"6",0.0116156327829805,-0.0430643251771088,0.0644923350000888,-0.0355079414213301,0.057512081388914,"Home_x_shrub","mass"
"7",1.33592084024235,-3.40006816954796,6.54129432857207,-2.67656037233599,5.67805015237889,"Shrub","loading"
"8",3.44398355388771,-1.16644554250435,9.18997155480065,-0.568112019877111,7.91709892954567,"Intercept","loading"
"9",-0.558727783768051,-7.08982061369438,7.11672186051911,-6.07206370147269,5.56194530269915,"Pasture","loading"
"10",-2.34079573112565,-10.6061667457593,6.50638792892885,-9.68790113036036,5.04754679831683,"Homestead","loading"
"11",-1.44058518222276,-8.28410359438729,6.3386393157464,-7.11642177986861,5.01589694503702,"Pas_by_shrub","loading"
"12",3.62647977111064,-6.25556698300694,12.6399018090006,-4.53343876571512,11.4313278305903,"Home_x_shrub","loading"
