"","effect","90% LCL","90% UCL","betaName","trait"
"1",0.779806761247199,-0.124846943968125,1.70255786320666,"Shrub cover","shrubs"
"2",1.10396732068231,0.160660886836594,2.10182568962861,"Shrub cover","trees"
"3",1.76861484868552,-0.176517306412982,3.7543076303674,"Shrub cover","cavities"
"4",0.944698920675678,-0.00881727711942663,2.19733859986435,"Shrub cover","grass"
"5",1.96028397710314,1.06456017483503,2.91778790547542,"Protected","shrubs"
"6",3.23503820178825,2.26696617048188,4.26375160081465,"Protected","trees"
"7",3.57909964872738,1.79217612620242,5.53397399124685,"Protected","cavities"
"8",-0.599213215183496,-2.02348777034977,1.0079096113069,"Protected","grass"
"9",0.252900894865796,-1.06902507263293,1.60227282145668,"Pasture","shrubs"
"10",-0.529903447931002,-1.89587030118922,0.984359676081031,"Pasture","trees"
"11",-2.83062666645301,-5.36838407821809,-0.341991245077689,"Pasture","cavities"
"12",-0.686763422412485,-2.63322749164517,1.23691622292995,"Pasture","grass"
"13",-0.371133456087888,-2.04276321625758,1.33178390983476,"Homestead","shrubs"
"14",-1.4216320153925,-3.08979110578384,0.305523363334555,"Homestead","trees"
"15",-0.0644777723020259,-3.52485195455615,3.4007281160994,"Homestead","cavities"
"16",3.14457318950276,-0.207052392878193,6.57780123936676,"Homestead","grass"
"17",0,0,0,"pro_by_shrub","shrubs"
"18",0,0,0,"pro_by_shrub","trees"
"19",0,0,0,"pro_by_shrub","cavities"
"20",0,0,0,"pro_by_shrub","grass"
"21",1.25444331407287,-0.0492687350916245,2.65277840211796,"pas_by_shrub","shrubs"
"22",0.820571228268434,-0.596617867907247,2.26927185974996,"pas_by_shrub","trees"
"23",1.73485510759676,-0.863839909084986,4.35660320282236,"pas_by_shrub","cavities"
"24",-0.32036127802539,-2.24852629041523,1.66339006681619,"pas_by_shrub","grass"
"25",2.61632327183256,0.650743044180833,4.51543193668853,"home_by_shrub","shrubs"
"26",2.08366466004099,0.145824199146177,4.07335399526909,"home_by_shrub","trees"
"27",2.39943925017605,-1.46434562297778,6.32167180279347,"home_by_shrub","cavities"
"28",2.27889745718068,-1.38974786702621,5.87774895209807,"home_by_shrub","grass"
"29",-1.09083399898689,-2.76887754890516,0.646992499887546,"Shrub cover","predatory"
"30",0.940851658306768,-0.0185851521196757,1.94797698796592,"Shrub cover","invertebrates"
"31",1.55211750532466,-0.227862718123627,3.5168586686799,"Shrub cover","fruit"
"32",0.335121155045219,-1.32625811733555,2.1931670102167,"Shrub cover","seeds"
"33",0.840819113456886,-1.87147693474661,5.32441504833501,"Shrub cover","nectar"
"34",-0.84330500820804,-2.7477721989398,1.17574033567413,"Protected","predatory"
"35",2.45348043941128,1.52817959708847,3.4201066877804,"Protected","invertebrates"
"36",3.99431871622007,2.10118812494268,6.18272996189496,"Protected","fruit"
"37",3.2224221431004,1.51384637013221,5.22584443576694,"Protected","seeds"
"38",4.06460992261629,0.467706490201801,9.46904213412459,"Protected","nectar"
"39",0.384970495231982,-2.27382815288505,3.1040126880766,"Pasture","predatory"
"40",-0.646240920223503,-1.9279925991468,0.672725398542997,"Pasture","invertebrates"
"41",-0.493588080631963,-3.4026712854853,2.82910601730408,"Pasture","fruit"
"42",-1.17957909944319,-3.4787584988304,1.45105241605213,"Pasture","seeds"
"43",0.761458505766977,-4.03172830845391,7.68754152537546,"Pasture","nectar"
"44",0.898749480295712,-2.36576162362041,4.30128347979403,"Homestead","predatory"
"45",-2.52450428147367,-4.29430362586257,-0.747565329992235,"Homestead","invertebrates"
"46",1.97892742935437,-1.87419072100791,5.91728338079769,"Homestead","fruit"
"47",1.72900455125561,-1.69151056851421,5.31958365175549,"Homestead","seeds"
"48",3.31505072884334,-2.70366443971683,9.41624366864212,"Homestead","nectar"
"49",0,0,0,"pro_by_shrub","predatory"
"50",0,0,0,"pro_by_shrub","invertebrates"
"51",0,0,0,"pro_by_shrub","fruit"
"52",0,0,0,"pro_by_shrub","seeds"
"53",0,0,0,"pro_by_shrub","nectar"
"54",2.07925028979819,-0.631597407285531,4.99165547336151,"pas_by_shrub","predatory"
"55",2.60897480976619,1.25593707229111,4.01307473660404,"pas_by_shrub","invertebrates"
"56",0.317795255339339,-2.53123813640314,3.35291341455793,"pas_by_shrub","fruit"
"57",-0.373076768102365,-2.82930157972242,2.29482095622585,"pas_by_shrub","seeds"
"58",1.28403743530895,-3.76163013986865,6.47696756869122,"pas_by_shrub","nectar"
"59",3.13434028036291,-0.28292491169536,6.58432422871437,"home_by_shrub","predatory"
"60",3.84269325188882,1.9202041123312,5.78169222291265,"home_by_shrub","invertebrates"
"61",-0.457025495906324,-4.73100590005034,3.71511649349713,"home_by_shrub","fruit"
"62",1.72578583857276,-2.29454562807644,5.63949594761751,"home_by_shrub","seeds"
"63",-2.52262862517553,-9.67773905898277,4.38075450336555,"home_by_shrub","nectar"
